task,task_name,raw_records,records,shared_precision,shared_recall,shared_f1,shared_edges,shared_loss,precision,recall,f1,edges,loss,deleted,added,refine_iters
0,cora_ml1_SI_1%,300,300,0.24902455582915714,0.25956271996025476,0.22519586474632516,13070,-566058.924196624,0.7305503049777503,0.3208113042849024,0.4435265038617069,1674,-458538.5381605999,128,128,8
1,cora_ml2_SI_1%,300,300,0.3142678974732877,0.2047746568274519,0.23954577273455196,13070,-501976.2137204885,0.6846935166347401,0.32420728078884264,0.43824819849275615,1674,-402113.89239546884,128,128,8
2,cora_ml3_SI_1%,300,300,0.5476064837836583,0.21489944658876955,0.2946995211054234,13070,-640199.8409597516,0.8124442772390433,0.42658816448317965,0.5573941597683783,1674,-528727.0978662872,128,128,8
3,cora_ml4_SI_1%,300,300,0.21928327745670573,0.21337158872173134,0.19672722663257833,13070,-513420.46368925803,0.600497112138213,0.24959653854760608,0.3487784445359783,1674,-408873.6846871961,128,128,8
4,cora_ml5_SI_1%,300,300,0.519122891232906,0.1990654417926865,0.27148420785244526,13070,-545409.2409595257,0.7524777272126447,0.41089545059668564,0.5279906554974262,1674,-437226.92045924894,128,128,8

