task,task_name,raw_records,records,shared_precision,shared_recall,shared_f1,shared_edges,shared_loss,precision,recall,f1,edges,loss,deleted,added,refine_iters
0,power_grid1_IC_1%,300,300,0.9529276617557529,0.8817635058486037,0.9151025957569756,3495,-300359.5653053595,0.8686252860224992,0.9119856427977024,0.8889658353230641,3495,-252264.9577056974,272,272,8
1,power_grid2_IC_1%,300,300,0.943155042215233,0.8885255115104845,0.9139189089072711,3495,-284712.8430581679,0.9033368718804422,0.9385795470509664,0.9198317672307852,3495,-238129.43439015167,272,272,8
2,power_grid3_IC_1%,300,300,0.9326337953845386,0.8873760114078216,0.9075903188516241,3495,-301600.53910562885,0.8619107733824277,0.9220332237505773,0.8896500354781608,3495,-251282.15555018213,272,272,8
3,power_grid4_IC_1%,300,300,0.9267751867146442,0.8884713397258815,0.9053509044562744,3495,-306363.5639517677,0.8635487218435772,0.9187589258558699,0.8887739457786866,3495,-257587.77515843385,272,272,8
4,power_grid5_IC_1%,300,300,0.9133021279334416,0.8955000761233536,0.902496486534941,3495,-300929.4930406262,0.8631353623112176,0.926220759405641,0.8921157202590427,3495,-254538.69286641292,272,272,8
