task,task_name,raw_records,records,shared_precision,shared_recall,shared_f1,shared_edges,shared_loss,precision,recall,f1,edges,loss,deleted,added,refine_iters
0,power_grid1_SI_1%,300,300,0.5955623889177878,0.7643637633189926,0.6657761854004328,4311,-414828.5718616156,0.5941076580109227,0.8345769022725477,0.6913124110904054,4303,-312611.15510871925,344,336,8
1,power_grid2_SI_1%,300,300,0.6833285980346426,0.7263876882195942,0.7013466041138726,4311,-425922.43643808813,0.6773620953031,0.8127843876532537,0.7369905699875109,4303,-311642.0546461898,344,336,8
2,power_grid3_SI_1%,300,300,0.59342353346095,0.7765268157186249,0.6698979903233383,4311,-415338.65466738696,0.5887965058804645,0.8407944542070706,0.6899782250694513,4303,-309731.32068046735,344,336,8
3,power_grid4_SI_1%,300,300,0.5741852721235412,0.7731244085106239,0.6557189622025436,4311,-419607.5654043552,0.5712112056414177,0.8328556288556668,0.6749650694276565,4303,-319122.5073099321,344,336,8
4,power_grid5_SI_1%,300,300,0.6683027106826048,0.7541076679739823,0.7067860311803915,4311,-423894.95764250297,0.6649996871695675,0.830263173002774,0.7370548728091237,4303,-310635.37330327946,344,336,8
