task,task_name,raw_records,records,shared_precision,shared_recall,shared_f1,shared_edges,shared_loss,precision,recall,f1,edges,loss,deleted,added,refine_iters
0,karate1_SI_1%,300,300,0.6291774891774893,0.6318192918192919,0.6169523809523809,65,-9493.063442706876,0.6458574879227054,0.8069078144078144,0.7102827380952381,65,-5685.651618512989,8,8,8
1,karate2_SI_1%,300,300,0.35471049783549785,0.2842512077294686,0.3091482463896257,65,-23384.836214889903,0.5793187514240146,0.5947262479871175,0.5788793309438471,65,-7883.766935768701,8,8,8
2,karate3_SI_1%,300,300,0.6563208360267183,0.5539523809523811,0.5987033760872771,65,-13348.644893232338,0.5757475490196078,0.6384285714285715,0.6047562724014337,65,-9164.13346524843,8,8,8
3,karate4_SI_1%,300,300,0.5244137931034484,0.32060426929392444,0.37605823754789275,65,-14997.235212222504,0.5916137016137016,0.5453825944170771,0.5576875901875902,65,-8670.894657095741,8,8,8
4,karate5_SI_1%,300,300,0.42006216006216,0.3045833333333333,0.3530090459122718,65,-17452.691041287537,0.588125,0.6239583333333333,0.6040509259259259,65,-6568.533573582592,8,8,8
