task,task_name,raw_records,records,shared_precision,shared_recall,shared_f1,shared_edges,shared_loss,precision,recall,f1,edges,loss,deleted,added,refine_iters
0,cora_ml1_IC_1%,300,300,0.4085296158494334,0.9335092512226648,0.5659720417701677,13070,-566058.924196624,0.4039332093341727,0.9578468399643918,0.5659882332071365,14144,-458538.5381605999,4,1078,8
1,cora_ml2_IC_1%,300,300,0.4184319280035719,0.9329612250391986,0.5738331872492227,13070,-501976.2137204885,0.4131717649115505,0.959789513191422,0.5738115596523689,14105,-402113.89239546884,40,1075,8
2,cora_ml3_IC_1%,300,300,0.40017582011833125,0.9324425154797382,0.5585400338467494,13070,-640199.8409597516,0.3934960908198944,0.9525185752173544,0.5555243459884364,14143,-528727.0978662872,5,1078,8
3,cora_ml4_IC_1%,300,300,0.4094806355002939,0.9324868314151763,0.5649091594913301,13070,-513420.46368925803,0.4037741113183562,0.957798867228364,0.5640457000505538,14096,-408873.6846871961,49,1075,8
4,cora_ml5_IC_1%,300,300,0.41280730040535885,0.9318423729749173,0.5687869114511716,13070,-545409.2409595257,0.40700904956973516,0.9555840955247913,0.5677406590092644,14133,-437226.92045924894,14,1077,8
