task,task_name,raw_records,records,shared_precision,shared_recall,shared_f1,shared_edges,shared_loss,precision,recall,f1,edges,loss,deleted,added,refine_iters
0,karate1_IC_1%,300,300,0.3926666666666667,0.25194444444444447,0.3005092946269417,41,-17900.918426103937,0.6553030303030302,0.6333333333333333,0.6346312399355877,41,-6942.950181768225,8,8,8
1,karate2_IC_1%,300,300,0.6214814814814814,0.4009035409035409,0.47646597554492304,41,-19712.470095532528,0.6016363636363635,0.5254236874236873,0.558831417624521,41,-9053.398115542917,8,8,8
2,karate3_IC_1%,300,300,0.6666666666666666,1.0,0.7999999999999999,41,-2749.7376192740276,0.6666666666666666,1.0,0.7999999999999999,33,-2730.2572013717004,8,0,8
3,karate4_IC_1%,300,300,0.5866666666666667,0.6066666666666667,0.5582222222222222,41,-8394.032823999114,0.7522222222222222,1.0,0.8513333333333333,36,-3031.0747725652905,8,3,8
4,karate5_IC_1%,300,300,0.5482828282828284,0.4708888888888889,0.5006521739130434,41,-8641.942467055816,0.5532478632478633,0.5608333333333333,0.5568888888888889,41,-6538.887163135489,8,8,8
